FirstName  LastName      Ext
James      Brown         746
Chris      Green         159
Peter      Black         376
Mary       Housegood     468
Kay        Green         120
Harry      Redknapp      593
Chris      Jeffries      482
Susan      Stevens       796
Jerry      Brown         152
Sam        Stayman       864
Roy        Young         758
Viv        Green         459
Terry      Black         759
Kurt       Uhart         265
Anne       Staniland     802
Sue        Gerdes        806
Ron        Brown         430
Steve      Goodman       458
Fred       Green         290
Steven     Huftvin       482
Kirk       Thompson      783
Hugh       Brown         581
Dave       Leeman        902
Leroy      Gorman        945
Dereck     Bell          268
Paul       Younger       857
Stuart     Black         923
Jerry      Taylor        592
Mike       Green         901
Phillip    Haybrooke     700
Mary       Black         450
John       England       523
